sample-id	year	month	day	lib_date	lib_season	Bacterial Abundance	Leucine Incorporation	Chlorophyll a	Phosphate	Silicate	Nitrite and Nitrate	Temperature	Salinity	Primary Production	Depth (m)	Bloom	Summer_Stage	notes
#q2:types	numeric	numeric	numeric	categorical	categorical	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	categorical	categorical	categorical
S1L13	2012	11	27	11/27/2012	12-13	419846153.8	28.33449217	21.19813779	0.6	56.31	7.5585	-0.4449	33.7555	349.2202045	9.976	Pre-Bloom	Early Summer	Phosphate is average value from 0 - 20m
S1L14	2013	2	8	2/8/2013	12-13	288000000	22.55344843	3.04947145	1.502	58.792	20.937	1.6186	33.3893	175.5863808	10.053	Post-Bloom	Mid Summer	NA
S2L05	2013	12	27	12/27/2013	13-14	526692307.7	9.807359148	0.446459494	1.6895	65.8305	24.252	0.1924	33.9241	89.51138917	10.051	Pre-Bloom	Early Summer	Inorganic Nutrients are average of 2013-12-24 and 2013-12-31 data
S2L06	2014	1	23	1/23/2014	13-14	1384357143	120.6910771	5.61885607	0.995	53.572	11.743	0.7696	32.9958	251.0521259	9.839	In-Bloom	Mid Summer	NA
S2L07	2014	2	3	2/3/2014	13-14	1197076923	116.2026101	4.442816428	0.809	47.077	8.18	1.8136	32.8465	318.058251	9.83	In-Bloom	Mid Summer	NA
S2L08	2014	2	10	2/10/2014	13-14	597923076.9	25.55217797	2.708157955	1.376	53.641	17.161	0.8569	33.1929	647.6755448	9.857	Post-Bloom	Mid Summer	NA
S2L09	2014	2	28	2/28/2014	13-14	755142857.1	34.79247442	5.765861026	0.909	44.609	13.788	0.6228	32.7221	44.11821978	10.1	Post-Bloom	Late Summer	NA
S2L10	2014	3	4	3/4/2014	13-14	775846153.8	33.82052053	1.690556986	1.274	48.941	17.158	0.2673	32.8897	12.50329228	10.104	Post-Bloom	Late Summer	NA
S3L03	2014	12	1	12/1/2014	14-15	543076923.1	22.92	4.11833024	1.195	22.188	10.474	-0.6836	33.6873	20.96462376	10.098	Pre-Bloom	Early Summer	NA
S3L04	2014	12	11	12/11/2014	14-15	970692307.7	43.12289041	3.10466202	1.734	57.446	21.936	-0.8498	33.4236	89.53159718	9.905	Pre-Bloom	Early Summer	NA
S3L05	2015	1	12	1/12/2015	14-15	1093714286	11.77090712	1.534651821	1.36	57.348	17.956	0.449	33.3351	20.4105498	10.054	In-Bloom	Mid Summer	NA
S3L06	2015	1	19	1/19/2015	14-15	274000000	42.75127662	6.675335992	1.226	47.809	12.095	1.0173	33.2011	42.65332909	10.091	In-Bloom	Mid Summer	NA
S3L07	2015	2	9	2/9/2015	14-15	1627538462	44.12305975	1.359168291	1.636	56.823	22.512	0.7323	33.4084	12.68470561	9.869	Post-Bloom	Mid Summer	NA
S3L08	2015	2	23	2/23/2015	14-15	984769230.8	36.12190192	0.910729885	1.453	54.196	22.426	0.753	33.2617	21.05436397	9.865	Post-Bloom	Late Summer	NA
S3L09	2015	3	9	3/9/2015	14-15	862692307.7	19.08400748	4.878320245	1.242	57.638	22.766	0.5587	33.5496	23.12796558	10.178	Post-Bloom	Late Summer	NA
